[nltk_data] Downloading package punkt_tab to /u/rc5898/nltk_data...
[nltk_data]   Unzipping tokenizers/punkt_tab.zip.
1. Loading Data...
Loading results/pilot/target_simulations.json...
Loading results/pilot/control_simulations.json...
Loading results/pilot/default_topics.json...
Loaded 2120 total transcripts.
2. Generating Sentence-BERT Embeddings for all transcripts...

--- MEASURING INDIVIDUATION ---
Persona: Hispanic Male Nurse                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Cashier             Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Mechanic                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Cashier                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Driver                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Doctor                 Individuation (Acc): 0.99 (Target > 0.5)
Persona: Asian Male Editor                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Doctor                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Sheriff                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Nurse                    Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Doctor                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Nurse                  Individuation (Acc): 0.99 (Target > 0.5)
Persona: Hispanic Female CEO                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Nurse                    Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Sheriff                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female CEO                    Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Editor                   Individuation (Acc): 0.99 (Target > 0.5)
Persona: Hispanic Male Lawyer                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Lawyer       Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Secretary                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Lawyer              Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Secretary              Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Editor                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Cleaner                Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Teacher                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Lawyer                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male CEO                      Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Teacher               Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Cleaner                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Cleaner                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Cashier                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Driver                   Individuation (Acc): 0.99 (Target > 0.5)
Persona: White Male Nurse                    Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Cashier                Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Doctor                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Teacher             Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Sheriff                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Secretary    Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Sheriff             Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Teacher                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Editor              Individuation (Acc): 0.99 (Target > 0.5)
Persona: Native American Male Nurse          Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Doctor       Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Cleaner                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Mechanic                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Cleaner                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male CEO                      Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Cleaner               Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Driver       Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male CEO            Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Nurse                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male Cleaner        Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Sheriff                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Mechanic               Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Secretary           Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female CEO                    Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Cashier                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Cashier      Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Cashier                Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Driver                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Teacher                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Driver                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Mechanic                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Lawyer                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Sheriff      Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Lawyer                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Secretary                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Cashier               Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Cashier                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Driver                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female CEO                    Individuation (Acc): 0.99 (Target > 0.5)
Persona: Asian Female Sheriff                Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Secretary              Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Editor                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Driver              Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Mechanic               Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Cleaner             Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Teacher      Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Secretary             Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male CEO                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Secretary                Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Driver                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Editor                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Cleaner                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female CEO          Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male Cashier        Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male Teacher        Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Editor       Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Mechanic     Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Lawyer                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Male Doctor                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Mechanic            Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Lawyer                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Editor                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Doctor              Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Driver                 Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male Lawyer                   Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male Editor         Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Nurse        Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male Driver         Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Teacher                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Sheriff               Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Secretary              Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Male CEO                      Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Mechanic               Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Female Nurse               Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male Doctor         Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male Sheriff        Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Editor                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Female Cleaner      Individuation (Acc): 1.00 (Target > 0.5)
Persona: Native American Male Secretary      Individuation (Acc): 1.00 (Target > 0.5)
Persona: Black Female Teacher                Individuation (Acc): 1.00 (Target > 0.5)
Persona: Asian Female Nurse                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Male Teacher                  Individuation (Acc): 1.00 (Target > 0.5)
Persona: Hispanic Male Mechanic              Individuation (Acc): 1.00 (Target > 0.5)
Persona: White Female Sheriff                Individuation (Acc): 1.00 (Target > 0.5)
